iter	Passed	Remaining
0	1	178
1	5	248
2	6	223
3	8	193
4	9	186
5	12	200
6	14	193
7	16	185
8	17	181
9	20	181
10	21	177
11	23	174
12	28	193
13	30	188
14	32	183
15	33	178
16	36	176
17	38	174
18	39	169
19	42	170
20	44	166
21	45	162
22	47	159
23	51	162
24	52	158
25	54	154
26	56	151
27	58	149
28	59	146
29	62	145
30	64	143
31	66	141
32	68	138
33	69	135
34	72	135
35	74	132
36	76	129
37	77	126
38	79	124
39	81	122
40	83	119
41	84	116
42	87	115
43	88	112
44	90	110
45	91	107
46	93	105
47	96	104
48	98	102
49	99	99
50	102	98
51	104	96
52	105	93
53	108	92
54	109	89
55	111	87
56	113	85
57	114	82
58	117	81
59	119	79
60	121	77
61	122	75
62	124	73
63	126	71
64	128	69
65	130	67
66	132	65
67	134	63
68	136	61
69	137	59
70	139	56
71	142	55
72	144	53
73	147	51
74	149	49
75	150	47
76	152	45
77	154	43
78	156	41
79	157	39
80	161	37
81	164	36
82	166	34
83	168	32
84	170	30
85	171	27
86	173	25
87	176	24
88	178	22
89	179	19
90	181	17
91	183	15
92	185	13
93	187	11
94	189	9
95	191	7
96	193	5
97	194	3
98	197	1
99	199	0
